"","sequence.sequenceID","alignment.name","alignment.displayName","sequence.m49_country.id","sequence.m49_country.display_name","sequence.gb_place_sampled","sequence.collection_year","sequence.earliest_collection_year","sequence.latest_collection_year","sequence.gb_length","sequence.gb_create_date","sequence.gb_update_date","sequence.host","sequence.gb_pubmed_id","sequence.isolate"
"RV/R3.PHL/2013/TRa-352.490","LC018603","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-352"
"RV/R3.PHL/2013/TRa-353.402","LC018515","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-353"
"RV/R3.PHL/2013/TRa-353.491","LC018604","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-353"
"RV/R3.PHL/2013/TRa-354.403","LC018516","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-354"
"RV/R3.PHL/2013/TRa-354.492","LC018605","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-354"
"RV/R3.PHL/2013/TRa-441.445","LC018558","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-441"
"RV/R3.PHL/2013/TRa-441.499","LC018612","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-441"
"RV/R3.PHL/2013/TRa-442.446","LC018559","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-442"
"RV/R3.PHL/2013/TRa-442.500","LC018613","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-442"
"RV/R3.PHL/2013/TRa-443.447","LC018560","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-443"
"RV/R3.PHL/2013/TRa-443.501","LC018614","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-443"
"RV/R3.PHL/2013/TRa-444.448","LC018561","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-444"
"RV/R3.PHL/2013/TRa-444.502","LC018615","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-444"
"RV/R3.PHL/2013/TRa-445.449","LC018562","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-445"
"RV/R3.PHL/2013/TRa-445.503","LC018616","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-445"
"RV/R3.PHL/2013/TRa-446","LC018563","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Tarlac","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-446"
"RV/R3.PHL/2013/TRa-447.451","LC018564","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-447"
"RV/R3.PHL/2013/TRa-447.504","LC018617","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-447"
"RV/R3.PHL/2013/TRa-448","LC018565","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Nueva Ecija","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-448"
"RV/R3.PHL/2013/TRa-449.453","LC018566","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-449"
"RV/R3.PHL/2013/TRa-449.505","LC018618","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-449"
"RV/R3.PHL/2013/TRa-450.454","LC018567","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-450"
"RV/R3.PHL/2013/TRa-450.506","LC018619","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-450"
"RV/R3.PHL/2013/TRa-451.455","LC018568","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-451"
"RV/R3.PHL/2013/TRa-451.507","LC018620","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-451"
"RV/R3.PHL/2013/TRa-452.456","LC018569","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-452"
"RV/R3.PHL/2013/TRa-452.508","LC018621","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-452"
"RV/R3.PHL/2013/TRa-453.457","LC018570","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-453"
"RV/R3.PHL/2013/TRa-453.509","LC018622","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-453"
"RV/R3.PHL/2013/TRa-454.458","LC018571","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-454"
"RV/R3.PHL/2013/TRa-454.510","LC018623","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-454"
"RV/R3.PHL/2013/TRa-455.459","LC018572","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-455"
"RV/R3.PHL/2013/TRa-455.511","LC018624","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-455"
"RV/R3.PHL/2013/TRa-456.460","LC018573","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-456"
"RV/R3.PHL/2013/TRa-456.512","LC018625","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-456"
"RV/R3.PHL/2013/TRa-457.461","LC018574","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-457"
"RV/R3.PHL/2013/TRa-457.513","LC018626","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-457"
"RV/R3.PHL/2013/TRa-458","LC018575","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-458"
"RV/R3.PHL/2013/TRa-459.463","LC018576","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-459"
"RV/R3.PHL/2013/TRa-459.514","LC018627","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-459"
"RV/R3.PHL/2013/TRa-460","LC018577","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Nueva Ecija","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-460"
"RV/R3.PHL/2013/TRa-461.465","LC018578","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-461"
"RV/R3.PHL/2013/TRa-461.515","LC018628","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-461"
"RV/R3.PHL/2013/TRa-462","LC018579","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Nueva Ecija","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-462"
"RV/R3.PHL/2013/TRa-463.467","LC018580","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-463"
"RV/R3.PHL/2013/TRa-463.516","LC018629","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Pampanga","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-463"
"RV/R3.PHL/2013/TRa-464.468","LC018581","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-464"
"RV/R3.PHL/2013/TRa-464.517","LC018630","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Bulacan","2013","2013",2013,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-464"
"RV/R3.PHL/2013/TRa-465","LC018582","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Nueva Ecija","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-465"
"RV/R3.PHL/2013/TRa-466","LC018583","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","III, Nueva Ecija","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R3.PHL/2013/TRa-466"
"RV/R3.PHL/2013/TRa-509","LC068917","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Bulacan","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-509"
"RV/R3.PHL/2013/TRa-533","LC068919","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-533"
"RV/R3.PHL/2013/TRa-534","LC068920","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-534"
"RV/R3.PHL/2013/TRa-535","LC068921","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Bulacan","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-535"
"RV/R3.PHL/2013/TRa-536","LC068922","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Bulacan","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-536"
"RV/R3.PHL/2013/TRa-537","LC068923","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Bulacan","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-537"
"RV/R3.PHL/2013/TRa-538","LC068924","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Bulacan","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-538"
"RV/R3.PHL/2013/TRa-540","LC068925","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-540"
"RV/R3.PHL/2013/TRa-541","LC068926","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Nueva Ecija","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-541"
"RV/R3.PHL/2013/TRa-542","LC068927","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-542"
"RV/R3.PHL/2013/TRa-543","LC068928","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-543"
"RV/R3.PHL/2013/TRa-544","LC068929","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Felis catus","-","RV/R3.PHL/2013/TRa-544"
"RV/R3.PHL/2013/TRa-545","LC068930","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-545"
"RV/R3.PHL/2013/TRa-547","LC068931","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Bulacan","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-547"
"RV/R3.PHL/2013/TRa-548","LC068932","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region I, Bulacan","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-548"
"RV/R3.PHL/2013/TRa-549","LC068933","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-549"
"RV/R3.PHL/2013/TRa-550","LC068934","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-550"
"RV/R3.PHL/2013/TRa-551","LC068935","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-551"
"RV/R3.PHL/2013/TRa-552","LC068936","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-552"
"RV/R3.PHL/2013/TRa-554","LC068937","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Bulacan","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-554"
"RV/R3.PHL/2013/TRa-556","LC068938","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Bulacan","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-556"
"RV/R3.PHL/2013/TRa-557","LC068939","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Bulacan","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-557"
"RV/R3.PHL/2013/TRa-581","LC068944","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Tarlac","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-581"
"RV/R3.PHL/2013/TRa-582","LC068945","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-582"
"RV/R3.PHL/2013/TRa-583","LC068946","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-583"
"RV/R3.PHL/2013/TRa-584","LC068947","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Nueva Ecija","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-584"
"RV/R3.PHL/2013/TRa-586","LC068948","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-586"
"RV/R3.PHL/2013/TRa-587","LC068949","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-587"
"RV/R3.PHL/2013/TRa-588","LC068950","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-588"
"RV/R3.PHL/2013/TRa-589","LC068951","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R3.PHL/2013/TRa-589"
"RV/R4A.PHL/2004/Z-04-042","AB563791","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Cavite","2004","2004",2004,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2004/Z-04-042"
"RV/R4A.PHL/2004/Z-04-211","AB563792","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 4A, Laguna","2004","2004",2004,699,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2004/Z-04-211"
"RV/R4A.PHL/2004/Z-04-389","AB563793","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 4A, Cavite","2004","2004",2004,715,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2004/Z-04-389"
"RV/R4A.PHL/2004/Z-04-401","AB563794","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Rizal","2004","2004",2004,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2004/Z-04-401"
"RV/R4A.PHL/2004/Z-04-420","AB563795","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 4A, Cavite","2004","2004",2004,715,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2004/Z-04-420"
"RV/R4A.PHL/2004/Z-04-470","AB683587","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Laguna","2004","2004",2004,1575,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2004/Z-04-470"
"RV/R4A.PHL/2004/Z-04-480","AB563797","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Laguna","2004","2004",2004,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2004/Z-04-480"
"RV/R4A.PHL/2005/Z-05-012","AB563801","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R4A, Laguna","2005","2005",2005,840,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2005/Z-05-012"
"RV/R4A.PHL/2005/Z-05-017","AB563802","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R4A, Cavite","2005","2005",2005,707,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2005/Z-05-017"
"RV/R4A.PHL/2005/Z-05-123","AB563804","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R4A, Laguna","2005","2005",2005,700,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2005/Z-05-123"
"RV/R4A.PHL/2006/Z-06-039","AB563818","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R4A, Batangas","2006","2006",2006,807,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2006/Z-06-039"
"RV/R4A.PHL/2006/Z-06-163","AB563819","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Laguna","2006","2006",2006,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2006/Z-06-163"
"RV/R4A.PHL/2006/Z-06-197","AB563820","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Batangas","2006","2006",2006,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2006/Z-06-197"
"RV/R4A.PHL/2006/Z-06-222.36","AB563822","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Cavite","2006","2006",2006,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2006/Z-06-222"
"RV/R4A.PHL/2006/Z-06-222.325","AB738089","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R4A, Cavite","2006","2006",2006,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2006/Z-06-222"
"RV/R4A.PHL/2006/Z-06-231","AB563823","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Cavite","2006","2006",2006,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2006/Z-06-231"
"RV/R4A.PHL/2006/Z-06-342","AB563824","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Laguna","2006","2006",2006,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2006/Z-06-342"
"RV/R4A.PHL/2006/Z-06-345","AB563825","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R4A, Batangas","2006","2006",2006,1549,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2006/Z-06-345"
"RV/R4A.PHL/2006/Z-06-348","AB563826","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Cavite","2006","2006",2006,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2006/Z-06-348"
"RV/R4A.PHL/2006/Z-06-357","AB563827","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Batangas","2006","2006",2006,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2006/Z-06-357"
"RV/R4A.PHL/2006/Z-06-361","AB563828","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Laguna","2006","2006",2006,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2006/Z-06-361"
"RV/R4A.PHL/2006/Z-06-362","AB563829","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Batangas","2006","2006",2006,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2006/Z-06-362"
"RV/R4A.PHL/2006/Z-06-365","AB563830","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Cavite","2006","2006",2006,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2006/Z-06-365"
"RV/R4A.PHL/2007/Z-07-189.46","AB563832","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Cavite","2007","2007",2007,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2007/Z-07-189"
"RV/R4A.PHL/2007/Z-07-189.279","AB683629","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R4A, Cavite","2007","2007",2007,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2007/Z-07-189"
"RV/R4A.PHL/2007/Z-07-243.47","AB563833","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Cavite","2007","2007",2007,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2007/Z-07-243"
"RV/R4A.PHL/2007/Z-07-243.280","AB683630","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R4A, Cavite","2007","2007",2007,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2007/Z-07-243"
"RV/R4A.PHL/2007/Z-07-252.48","AB563834","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R4A, Quezon","2007","2007",2007,798,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2007/Z-07-252"
